brand,model,year,price,mileage
nissan,rogue,2016,11000,63738
nissan,door,2013,2100,155704
nissan,door,2012,800,234792
nissan,pathfinder,2018,20400,24143
nissan,door,2017,375,1
nissan,door,2015,3000,132655
nissan,rogue,2017,15100,28079
nissan,door,2015,4000,74906
nissan,door,2017,19500,53155
nissan,titan,2017,22600,94258
nissan,door,2014,6500,65620
nissan,door,2012,11800,92878
nissan,pathfinder,2017,20500,25918
nissan,rogue,2018,14200,37830
nissan,frontier,2018,22000,13875
nissan,frontier,2018,16200,6024
nissan,door,2016,4800,76789
nissan,sport,2018,16000,30409
nissan,sport,2018,14300,44864
nissan,pathfinder,2019,16800,42397
nissan,sentra,2018,11900,16778
nissan,door,2015,3000,99767
nissan,rogue,2019,15000,34692
nissan,rogue,2019,15200,30721
nissan,door,2017,18000,53376
nissan,nvp,2016,22700,21282
nissan,door,2015,3800,81699
nissan,door,2018,5475,33048
nissan,sentra,2018,11400,10372
nissan,pathfinder,2018,28100,8889
nissan,sentra,2017,3500,127780
nissan,murano,2016,15200,59640
nissan,door,2015,1950,83975
nissan,rogue,2016,13400,46178
nissan,altima,2018,12500,34460
nissan,pathfinder,2018,16500,30594
nissan,pathfinder,2018,16500,39817
nissan,pathfinder,2018,16500,40419
nissan,rogue,2018,13900,35493
nissan,rogue,2018,13900,37073
nissan,door,2013,1500,98384
nissan,pathfinder,2018,16500,34640
nissan,rogue,2018,13900,38760
nissan,pathfinder,2018,16500,34841
nissan,rogue,2018,13900,35065
nissan,altima,2018,12400,37741
nissan,altima,2018,13000,27488
nissan,pathfinder,2018,16500,37452
nissan,rogue,2018,13900,39797
nissan,pathfinder,2018,16500,36714
nissan,rogue,2018,13900,36207
nissan,rogue,2018,13900,38563
nissan,rogue,2018,13900,39885
nissan,altima,2018,12100,41852
nissan,pathfinder,2018,16500,39454
nissan,pathfinder,2018,16500,40203
nissan,rogue,2018,13900,34547
nissan,door,2015,3700,75858
nissan,pathfinder,2019,18800,31123
nissan,versa,2018,9200,33808
nissan,titan,2019,30100,30599
nissan,versa,2018,9200,33931
nissan,sentra,2019,11100,40359
nissan,rogue,2018,13900,44313
nissan,versa,2018,9100,33078
nissan,frontier,2019,22800,24320
nissan,rogue,2018,13900,42502
nissan,altima,2019,12600,33497
nissan,versa,2018,9200,39577
nissan,altima,2019,12100,36974
nissan,versa,2018,9200,41220
nissan,frontier,2019,2300,1
nissan,rogue,2018,13900,41539
nissan,sentra,2019,9500,19646
nissan,rogue,2018,13900,39924
nissan,note,2019,1700,33279
nissan,rogue,2018,13900,40259
nissan,sentra,2019,10400,25264
nissan,versa,2018,9200,35677
nissan,versa,2019,7400,35511
nissan,versa,2018,9200,33027
nissan,versa,2019,7800,23609
nissan,versa,2018,9200,34553
nissan,versa,2018,9200,31594
nissan,versa,2018,9200,32557
nissan,versa,2018,9200,31371
